pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021	Discovery of new enzymatic functions and metabolic pathways using genomic enzymology web tools	Current Opinion in Biotechnology	"Zallot, Rémi; Oberg, Nils; Gerlt, John A"			https://linkinghub.elsevier.com/retrieve/pii/S0958166920301907
2021	Epoxyqueuosine Reductase QueH in the Biosynthetic Pathway to tRNA Queuosine Is a Unique Metalloenzyme	Biochemistry	"Li, Qiang; Zallot, Rémi; MacTavish, Brian S.; Montoya, Alvaro; Payan, Daniel J.; Hu, You; Gerlt, John A.; Angerhofer, Alexander; de Crécy-Lagard, Valérie; Bruner, Steven D."			https://pubs.acs.org/doi/10.1021/acs.biochem.1c00164
2019	"The EFI Web Resource for Genomic Enzymology Tools: Leveraging Protein, Genome, and Metagenome Databases to Discover Novel Enzymes and Metabolic Pathways"	Biochemistry	"Zallot, Rémi; Oberg, Nils; Gerlt, John A."			https://pubs.acs.org/doi/10.1021/acs.biochem.9b00735
2019	Discovery of novel bacterial queuine salvage enzymes and pathways in human pathogens	Proceedings of the National Academy of Sciences	"Yuan, Yifeng; Zallot, Rémi; Grove, Tyler L.; Payan, Daniel J.; Martin-Verstraete, Isabelle; _epi_, Sara; Balamkundu, Seetharamsingh; Neelakandan, Ramesh; Gadi, Vinod K.; Liu, Chuan-Fa; Swairjo, Manal A.; Dedon, Peter C.; Almo, Steven C.; Gerlt, John A.; de Crécy-Lagard, Valérie"			https://pnas.org/doi/full/10.1073/pnas.1909604116
2018	‘Democratized’ genomic enzymology web tools for functional assignment	Current Opinion in Chemical Biology	"Zallot, Rémi; Oberg, Nils O; Gerlt, John A"			https://linkinghub.elsevier.com/retrieve/pii/S1367593118300802
2018	Gene Graphics: a genomic neighborhood data visualization web application	Bioinformatics	"Harrison, Katherine J; de Crécy-Lagard, Valérie; Zallot, Rémi"			https://academic.oup.com/bioinformatics/article/34/8/1406/4708234
2018	Functional assignment of multiple catabolic pathways for d-apiose	Nature Chemical Biology	"Carter, Michael S.; Zhang, Xinshuai; Huang, Hua; Bouvier, Jason T.; Francisco, Brian San; Vetting, Matthew W.; Al-Obaidi, Nawar; Bonanno, Jeffrey B.; Ghosh, Agnidipta; Zallot, Rémi G.; Andersen, Harvey M.; Almo, Steven C.; Gerlt, John A."			http://www.nature.com/articles/s41589-018-0067-7
2017	Identification of a Novel Epoxyqueuosine Reductase Family by Comparative Genomics	ACS Chemical Biology	"Zallot, Rémi; Ross, Robert; Chen, Wei-Hung; Bruner, Steven D.; Limbach, Patrick A.; de Crécy-Lagard, Valérie"			https://pubs.acs.org/doi/10.1021/acschembio.6b01100
2017	The Escherichia coli COG1738 Member YhhQ Is Involved in 7-Cyanodeazaguanine (preQ0) Transport	Biomolecules	"Zallot, Rémi; Yuan, Yifeng; de Crécy-Lagard, Valérie"			http://www.mdpi.com/2218-273X/7/1/12
2016	Arabidopsis TH2 Encodes the Orphan Enzyme Thiamin Monophosphate Phosphatase	The Plant Cell	"Mimura, Manaki; Zallot, Rémi; Niehaus, Thomas D.; Hasnain, Ghulam; Gidda, Satinder K.; Nguyen, Thuy N.D.; Anderson, Erin M.; Mullen, Robert T.; Brown, Greg; Yakunin, Alexander F.; de Crécy-Lagard, Valérie; Gregory, Jesse F.; McCarty, Donald R.; Hanson, Andrew D."			https://academic.oup.com/plcell/article/28/10/2683-2696/6098396
